"Electorate","State","10-19_Male","10-19_Female","20-29_Male","20-29_Female","30-39_Male","30-39_Female","40-49_Male","40-49_Female","50-59_Male","50-59_Female","60-69_Male","60-69_Female","70-79_Male","70-79_Female","80-89_Male","80-89_Female","90-99_Male","90-99_Female","100_plus_Male","100_plus_Female","Total_Male","Total_Female"
"BALLARAT","VIC",10082,9622,8716,8900,8230,8867,9497,10354,9146,9831,7410,7754,4023,4695,1884,3059,234,600,7,19,59225,63701
"WANNON","VIC",9371,8602,6191,6078,6907,7116,8814,9234,9479,9466,8290,7985,4969,5327,2418,3483,273,767,4,27,56701,58087
"CORANGAMITE","VIC",9157,8370,7364,7270,7848,8407,8987,9847,9036,9431,7450,7744,4183,4713,2281,3384,311,776,5,23,56625,59977
"BENDIGO","VIC",9476,9149,7794,7995,7646,8211,9023,10003,9434,9965,7861,8026,4507,4936,2187,3221,270,747,6,25,58206,62276
"CORIO","VIC",9264,8796,8695,8838,8707,9108,9423,9806,8744,9371,7220,7810,4543,5339,2359,3512,305,665,4,20,59277,63267
"INDI","VIC",9248,8712,6436,6089,6920,7567,8985,9476,9611,9944,8405,8267,4685,4889,2190,3092,278,694,4,12,56765,58744
"MCEWEN","VIC",11953,11432,10230,10451,11650,12437,11784,12586,9460,9739,6599,6487,2989,2984,1126,1573,121,304,0,13,65903,68003
"MURRAY","VIC",10021,9347,6786,6998,7385,7934,9323,9643,9655,9566,8333,8205,5447,5593,2638,3546,332,757,3,26,59911,61620
"CASEY","VIC",9688,9289,8285,8313,8537,8887,9845,10363,9099,9528,7205,7469,3425,3708,1477,2148,175,450,0,5,57736,60157
"MCMILLAN","VIC",9870,9556,8240,8558,8328,9005,9440,9915,9136,9654,8069,8488,4877,5136,2286,3155,248,658,5,21,60497,64142
"GIPPSLAND","VIC",9421,8877,7541,7585,7375,7657,8743,9428,9803,10166,8922,8721,5219,5318,2281,3144,268,617,0,18,59581,61527
"FLINDERS","VIC",9254,8363,6810,6560,7367,7866,9432,9985,9154,9725,8990,9897,6004,6142,3005,3818,376,776,3,28,60387,63158
"WILLS","VIC",7425,6950,14160,13888,13762,14077,10536,10728,7509,7946,5142,5735,4395,5752,2903,3978,326,703,9,27,66158,69789
"BATMAN","VIC",7073,6805,12991,13192,12975,13467,10807,11290,8034,8336,5544,6178,4330,5201,2471,3500,322,676,4,24,64550,68667
"MELBOURNE","VIC",5989,6556,24418,26912,17142,15920,9481,8855,6979,7085,4890,5022,2466,2929,1227,1757,156,351,7,11,72739,75398
